ParkCode,Date,Temperature,Weather_Despcription
apco,1634572800,291.37,clear sky
apco,1634659200,292.07,broken clouds
apco,1634745600,294,few clouds
arch,1634065200,273.16,rain and snow
arch,1634151600,276.87,broken clouds
arch,1634238000,277.81,light snow
arch,1634324400,277.29,clear sky
arch,1634410800,282.01,clear sky
arch,1634497200,286.81,clear sky
arch,1634583600,286.29,broken clouds
arch,1634670000,286.19,clear sky
arpo,1634058000,300.6,moderate rain
arpo,1634144400,300.71,moderate rain
arpo,1634230800,298.82,light rain
arpo,1634317200,301.45,light rain
arpo,1634403600,294.03,clear sky
arpo,1634490000,296.64,clear sky
arpo,1634576400,297.71,clear sky
arpo,1634662800,298.01,scattered clouds
arho,1634140800,299.5,few clouds
arho,1634227200,298.97,overcast clouds
arho,1634313600,300.19,scattered clouds
arho,1634400000,298.9,light rain
arho,1634486400,289.22,clear sky
arho,1634572800,290.69,clear sky
arho,1634659200,291.79,clear sky
arho,1634745600,294.03,clear sky
asis,1634140800,293.9,overcast clouds
asis,1634227200,294.18,broken clouds
asis,1634313600,293.2,scattered clouds
asis,1634400000,294.1,light rain
asis,1634486400,288.03,clear sky
asis,1634572800,289,clear sky
asis,1634659200,291.1,clear sky
asis,1634745600,292.03,clear sky
azru,1634061600,277.88,rain and snow
azru,1634148000,279.28,few clouds
azru,1634234400,282.59,clear sky
azru,1634320800,280.58,clear sky
azru,1634407200,286.6,clear sky
azru,1634493600,289.7,clear sky
azru,1634580000,288.58,clear sky
azru,1634666400,289.27,light rain
badl,1634061600,282.08,heavy intensity rain
badl,1634148000,274.99,rain and snow
badl,1634234400,282,broken clouds
badl,1634320800,281.88,clear sky
badl,1634407200,287.9,clear sky
badl,1634493600,291.3,clear sky
badl,1634580000,286.98,overcast clouds
badl,1634666400,284.78,scattered clouds
bawa,1634140800,298.08,scattered clouds
bawa,1634227200,297.86,overcast clouds
bawa,1634313600,298.37,overcast clouds
bawa,1634400000,298.38,light rain
bawa,1634486400,288.91,clear sky
bawa,1634572800,289.88,clear sky
bawa,1634659200,292.58,clear sky
bawa,1634745600,293.01,few clouds
band,1634061600,286.1,light rain
band,1634148000,284.51,clear sky
band,1634234400,286.52,clear sky
band,1634320800,284.81,clear sky
band,1634407200,290.12,clear sky
band,1634493600,291.92,clear sky
band,1634580000,292.8,scattered clouds
band,1634666400,289.5,clear sky
bepa,1634140800,299.5,few clouds
bepa,1634227200,298.97,overcast clouds
bepa,1634313600,300.19,scattered clouds
bepa,1634400000,298.9,light rain
bepa,1634486400,289.22,clear sky
bepa,1634572800,290.69,clear sky
bepa,1634659200,291.79,clear sky
bepa,1634745600,294.03,clear sky
beol,1634061600,297.56,light rain
beol,1634148000,290.67,clear sky
beol,1634234400,286.28,clear sky
beol,1634320800,286.27,light rain
beol,1634407200,290.18,clear sky
beol,1634493600,292.88,clear sky
beol,1634580000,296.36,clear sky
beol,1634666400,288.16,clear sky
bela,1634076000,274.03,light snow
bela,1634162400,273.4,light snow
bela,1634248800,271.6,overcast clouds
bela,1634335200,269.27,light snow
bela,1634421600,268.72,clear sky
bela,1634508000,267.38,overcast clouds
bela,1634594400,266.75,light snow
bela,1634680800,266.23,overcast clouds
bibe,1634061600,305.62,light rain
bibe,1634148000,300.52,light rain
bibe,1634234400,302.13,clear sky
bibe,1634320800,302.62,clear sky
bibe,1634407200,297.24,clear sky
bibe,1634493600,297.54,clear sky
bibe,1634580000,300.52,light rain
bibe,1634666400,297.01,moderate rain
bicy,1634144400,300.8,light rain
bicy,1634230800,300.91,moderate rain
bicy,1634317200,300.74,light rain
bicy,1634403600,299.82,light rain
bicy,1634490000,300.32,broken clouds
bicy,1634576400,300.5,scattered clouds
bicy,1634662800,300.7,moderate rain
bicy,1634749200,300.92,light rain
biho,1634065200,271.32,snow
biho,1634151600,273.54,rain and snow
biho,1634238000,274.67,light snow
biho,1634324400,276.46,broken clouds
biho,1634410800,279.97,few clouds
biho,1634497200,284.18,broken clouds
biho,1634583600,279.85,broken clouds
biho,1634670000,281.85,clear sky
biso,1634144400,298.04,overcast clouds
biso,1634230800,299.65,broken clouds
biso,1634317200,295.58,overcast clouds
biso,1634403600,291.56,light rain
biso,1634490000,292.17,clear sky
biso,1634576400,293.95,clear sky
biso,1634662800,294.54,clear sky
biso,1634749200,292.77,overcast clouds
bith,1634061600,303.93,light rain
bith,1634148000,302.24,overcast clouds
bith,1634234400,303.35,light rain
bith,1634320800,303.24,light rain
bith,1634407200,295.75,few clouds
bith,1634493600,294.36,overcast clouds
bith,1634580000,296.24,clear sky
bith,1634666400,297.63,broken clouds
bica,1634061600,271.82,snow
bica,1634148000,272.62,overcast clouds
bica,1634234400,273.93,light snow
bica,1634320800,275.42,few clouds
bica,1634407200,281.14,few clouds
bica,1634493600,285.14,scattered clouds
bica,1634580000,280.52,few clouds
bica,1634666400,281.21,clear sky
bicr,1634058000,299.35,few clouds
bicr,1634144400,300.66,broken clouds
bicr,1634230800,301.17,overcast clouds
bicr,1634317200,301.6,light rain
bicr,1634403600,294.98,light rain
bicr,1634490000,295.09,clear sky
bicr,1634576400,295.66,overcast clouds
bicr,1634662800,297.86,clear sky
bisc,1634058000,299.59,moderate rain
bisc,1634144400,300.6,light rain
bisc,1634230800,300.51,moderate rain
bisc,1634317200,300.24,light rain
bisc,1634403600,300.12,scattered clouds
bisc,1634490000,300.02,light rain
bisc,1634576400,300.3,light rain
bisc,1634662800,300.7,light rain
blca,1634061600,264.96,snow
blca,1634148000,269.76,light snow
blca,1634234400,268.57,light snow
blca,1634320800,270.76,clear sky
blca,1634407200,278.18,clear sky
blca,1634493600,277.98,clear sky
blca,1634580000,277.36,light snow
blca,1634666400,276.85,clear sky
blrv,1634054400,291.26,overcast clouds
blrv,1634140800,291.6,clear sky
blrv,1634227200,291.88,broken clouds
blrv,1634313600,291.3,overcast clouds
blrv,1634400000,291.9,light rain
blrv,1634486400,287.73,light rain
blrv,1634572800,288.4,light rain
blrv,1634659200,290.1,clear sky
blri,1634144400,298.94,broken clouds
blri,1634230800,300.75,broken clouds
blri,1634317200,301.48,few clouds
blri,1634403600,296.56,broken clouds
blri,1634490000,293.36,clear sky
blri,1634576400,295.24,broken clouds
blri,1634662800,296.04,broken clouds
blri,1634749200,295.96,broken clouds
blue,1634144400,299.19,scattered clouds
blue,1634230800,299.2,overcast clouds
blue,1634317200,300.33,light rain
blue,1634403600,291.71,light rain
blue,1634490000,291.21,clear sky
blue,1634576400,292.79,clear sky
blue,1634662800,293.89,overcast clouds
blue,1634749200,295.91,overcast clouds
bowa,1634144400,299.62,scattered clouds
bowa,1634230800,301.03,overcast clouds
bowa,1634317200,301.96,broken clouds
bowa,1634403600,293.24,light rain
bowa,1634490000,292.74,clear sky
bowa,1634576400,293.92,clear sky
bowa,1634662800,295.32,broken clouds
bowa,1634749200,296.84,overcast clouds
boaf,1634140800,295.66,clear sky
boaf,1634227200,296.24,few clouds
boaf,1634313600,293.86,overcast clouds
boaf,1634400000,291.56,moderate rain
boaf,1634486400,288.49,clear sky
boaf,1634572800,287.96,clear sky
boaf,1634659200,289.96,clear sky
boaf,1634745600,294.09,scattered clouds
boha,1634140800,290.5,clear sky
boha,1634227200,289.78,clear sky
boha,1634313600,289.4,overcast clouds
boha,1634400000,289.8,light rain
boha,1634486400,286.63,light rain
boha,1634572800,286.7,clear sky
boha,1634659200,287.8,clear sky
boha,1634745600,290.93,broken clouds
bost,1634140800,295.66,clear sky
bost,1634227200,296.24,few clouds
bost,1634313600,293.86,overcast clouds
bost,1634400000,291.56,moderate rain
bost,1634486400,288.49,clear sky
bost,1634572800,287.96,clear sky
bost,1634659200,289.96,clear sky
bost,1634745600,294.09,scattered clouds
brcr,1634058000,299.96,light rain
brcr,1634144400,300.07,overcast clouds
brcr,1634230800,300.08,overcast clouds
brcr,1634317200,299.71,light rain
brcr,1634403600,292.89,clear sky
brcr,1634490000,294.39,clear sky
brcr,1634576400,296.67,overcast clouds
brcr,1634662800,296.87,clear sky
brvb,1634061600,297.19,light rain
brvb,1634148000,297.19,moderate rain
brvb,1634234400,298.8,light rain
brvb,1634320800,289.89,light rain
brvb,1634407200,291.11,clear sky
brvb,1634493600,294.51,clear sky
brvb,1634580000,296.09,clear sky
brvb,1634666400,292.08,clear sky
brca,1634065200,275.96,rain and snow
brca,1634151600,281.77,few clouds
brca,1634238000,285.51,clear sky
brca,1634324400,283.8,clear sky
brca,1634410800,286.41,clear sky
brca,1634497200,287.91,overcast clouds
brca,1634583600,290.79,overcast clouds
brca,1634670000,290.79,few clouds
buis,1634140800,301.5,moderate rain
buis,1634227200,301.68,moderate rain
buis,1634313600,301.8,light rain
buis,1634400000,301.4,few clouds
buis,1634486400,301.13,light rain
buis,1634572800,301.3,light rain
buis,1634659200,301.5,light rain
buis,1634745600,301.43,light rain
buff,1634058000,296.79,light rain
buff,1634144400,296.2,moderate rain
buff,1634230800,297.21,light rain
buff,1634317200,297.54,light rain
buff,1634403600,293.02,clear sky
buff,1634490000,296.22,clear sky
buff,1634576400,297.6,clear sky
buff,1634662800,297.4,overcast clouds
cabr,1634065200,290.78,clear sky
cabr,1634151600,290.9,clear sky
cabr,1634238000,290.24,clear sky
cabr,1634324400,292.42,clear sky
cabr,1634410800,294.04,clear sky
cabr,1634497200,291.74,scattered clouds
cabr,1634583600,291.12,clear sky
cabr,1634670000,291.22,scattered clouds
cali,1634061600,271.26,snow
cali,1634148000,274.17,light snow
cali,1634234400,276.18,scattered clouds
cali,1634320800,277.76,clear sky
cali,1634407200,282.28,clear sky
cali,1634493600,285.88,few clouds
cali,1634580000,286.66,few clouds
cali,1634666400,282.06,clear sky
cane,1634144400,295.64,light rain
cane,1634230800,299.05,light rain
cane,1634317200,299.38,light rain
cane,1634403600,289.46,light rain
cane,1634490000,290.47,clear sky
cane,1634576400,292.44,clear sky
cane,1634662800,294.34,clear sky
cane,1634749200,292.76,overcast clouds
cana,1634058000,300.19,light rain
cana,1634144400,300.4,light rain
cana,1634230800,300.31,light rain
cana,1634317200,299.54,light rain
cana,1634403600,299.52,clear sky
cana,1634490000,299.62,light rain
cana,1634576400,298.9,moderate rain
cana,1634662800,298.9,moderate rain
cari,1634058000,301.08,moderate rain
cari,1634144400,300.29,overcast clouds
cari,1634230800,302.4,light rain
cari,1634317200,300.23,light rain
cari,1634403600,295.51,clear sky
cari,1634490000,295.11,overcast clouds
cari,1634576400,297.39,clear sky
cari,1634662800,298.39,scattered clouds
cach,1634065200,276.47,rain and snow
cach,1634151600,280.79,clear sky
cach,1634238000,282.22,clear sky
cach,1634324400,282.81,clear sky
cach,1634410800,286.33,clear sky
cach,1634497200,288.63,scattered clouds
cach,1634583600,287.01,clear sky
cach,1634670000,287.8,few clouds
cany,1634065200,273.16,rain and snow
cany,1634151600,276.87,broken clouds
cany,1634238000,277.81,light snow
cany,1634324400,277.29,clear sky
cany,1634410800,282.01,clear sky
cany,1634497200,286.81,clear sky
cany,1634583600,286.29,broken clouds
cany,1634670000,286.19,clear sky
caco,1634054400,290.66,overcast clouds
caco,1634140800,291.2,clear sky
caco,1634227200,291.78,overcast clouds
caco,1634313600,290.1,overcast clouds
caco,1634400000,290.6,light rain
caco,1634486400,288.23,moderate rain
caco,1634572800,289.2,light rain
caco,1634659200,290.1,clear sky
caha,1634054400,294.86,light rain
caha,1634140800,296.8,light rain
caha,1634227200,295.88,broken clouds
caha,1634313600,296.5,clear sky
caha,1634400000,297.7,light rain
caha,1634486400,292.23,light rain
caha,1634572800,292.9,clear sky
caha,1634659200,294.6,light rain
came,1634140800,295.51,light rain
came,1634227200,295.19,overcast clouds
came,1634313600,295.1,few clouds
came,1634400000,297.61,light rain
came,1634486400,289.14,clear sky
came,1634572800,289.71,clear sky
came,1634659200,291.41,overcast clouds
came,1634745600,293.34,clear sky
cakr,1634076000,271.96,overcast clouds
cakr,1634162400,269.42,scattered clouds
cakr,1634248800,267.52,broken clouds
cakr,1634335200,266.3,scattered clouds
cakr,1634421600,270.34,light snow
cakr,1634508000,265.11,light snow
cakr,1634594400,266.28,scattered clouds
cakr,1634680800,262.26,scattered clouds
calo,1634054400,295.96,light rain
calo,1634140800,296.6,light rain
calo,1634227200,296.78,broken clouds
calo,1634313600,297.6,clear sky
calo,1634400000,298.9,light rain
calo,1634486400,293.13,light rain
calo,1634572800,294.1,few clouds
calo,1634659200,295.8,light rain
cahi,1634140800,294.29,light rain
cahi,1634227200,294.47,overcast clouds
cahi,1634313600,294.69,scattered clouds
cahi,1634400000,294.7,light rain
cahi,1634486400,288.22,clear sky
cahi,1634572800,289.19,clear sky
cahi,1634659200,289.79,clear sky
cahi,1634745600,291.43,clear sky
care,1634065200,274.69,rain and snow
care,1634151600,278.51,few clouds
care,1634238000,282.55,clear sky
care,1634324400,280.63,clear sky
care,1634410800,283.85,clear sky
care,1634497200,286.55,scattered clouds
care,1634583600,287.73,overcast clouds
care,1634670000,288.83,clear sky
cajo,1634140800,294.29,light rain
cajo,1634227200,294.47,overcast clouds
cajo,1634313600,294.69,scattered clouds
cajo,1634400000,294.7,light rain
cajo,1634486400,288.22,clear sky
cajo,1634572800,289.19,clear sky
cajo,1634659200,289.79,clear sky
cajo,1634745600,291.43,clear sky
cavo,1634061600,296.93,light rain
cavo,1634148000,290.64,clear sky
cavo,1634234400,289.45,clear sky
cavo,1634320800,287.24,clear sky
cavo,1634407200,290.95,clear sky
cavo,1634493600,293.75,clear sky
cavo,1634580000,297.63,scattered clouds
cavo,1634666400,289.53,few clouds
carl,1634144400,298.94,broken clouds
carl,1634230800,300.75,broken clouds
carl,1634317200,301.48,few clouds
carl,1634403600,296.56,broken clouds
carl,1634490000,293.36,clear sky
carl,1634576400,295.24,broken clouds
carl,1634662800,296.04,broken clouds
carl,1634749200,295.96,broken clouds
cave,1634061600,302.61,scattered clouds
cave,1634148000,297.02,scattered clouds
cave,1634234400,298.63,clear sky
cave,1634320800,294.81,clear sky
cave,1634407200,293.93,clear sky
cave,1634493600,294.53,clear sky
cave,1634580000,297.61,light rain
cave,1634666400,291.21,moderate rain
cawo,1634140800,299.5,few clouds
cawo,1634227200,298.97,overcast clouds
cawo,1634313600,300.19,scattered clouds
cawo,1634400000,298.9,light rain
cawo,1634486400,289.22,clear sky
cawo,1634572800,290.69,clear sky
cawo,1634659200,291.79,clear sky
cawo,1634745600,294.03,clear sky
cagr,1634065200,290.87,clear sky
cagr,1634151600,291.28,clear sky
cagr,1634238000,294.22,clear sky
cagr,1634324400,296.51,clear sky
cagr,1634410800,298.92,clear sky
cagr,1634497200,300.52,broken clouds
cagr,1634583600,297.2,clear sky
cagr,1634670000,296.8,broken clouds
casa,1634144400,303.52,few clouds
casa,1634230800,302.13,light rain
casa,1634317200,302.76,overcast clouds
casa,1634403600,304.74,clear sky
casa,1634490000,301.75,light rain
casa,1634576400,301.02,light rain
casa,1634662800,300.12,moderate rain
casa,1634749200,301.74,light rain
cacl,1634140800,293.81,broken clouds
cacl,1634227200,295.19,overcast clouds
cacl,1634313600,293.4,overcast clouds
cacl,1634400000,293.41,light rain
cacl,1634486400,287.84,clear sky
cacl,1634572800,288.81,clear sky
cacl,1634659200,290.31,clear sky
cacl,1634745600,292.04,clear sky
camo,1634065200,286.88,clear sky
camo,1634151600,289.5,clear sky
camo,1634238000,292.33,clear sky
camo,1634324400,294.02,clear sky
camo,1634410800,296.44,clear sky
camo,1634497200,295.84,overcast clouds
camo,1634583600,296.32,scattered clouds
camo,1634670000,298.61,clear sky
cato,1634140800,295.41,broken clouds
cato,1634227200,298.18,broken clouds
cato,1634313600,299.2,overcast clouds
cato,1634400000,297.81,light rain
cato,1634486400,288.14,clear sky
cato,1634572800,289.31,clear sky
cato,1634659200,291.41,clear sky
cato,1634745600,292.54,few clouds
cebr,1634065200,275.96,rain and snow
cebr,1634151600,281.77,few clouds
cebr,1634238000,285.51,clear sky
cebr,1634324400,283.8,clear sky
cebr,1634410800,286.41,clear sky
cebr,1634497200,287.91,overcast clouds
cebr,1634583600,290.79,overcast clouds
cebr,1634670000,290.79,few clouds
cebe,1634140800,295.89,few clouds
cebe,1634227200,295.47,overcast clouds
cebe,1634313600,297.69,broken clouds
cebe,1634400000,290.69,light rain
cebe,1634486400,286.22,clear sky
cebe,1634572800,286.99,clear sky
cebe,1634659200,288.59,clear sky
cebe,1634745600,291.52,few clouds
chcu,1634061600,277.88,rain and snow
chcu,1634148000,279.28,few clouds
chcu,1634234400,282.59,clear sky
chcu,1634320800,280.58,clear sky
chcu,1634407200,286.6,clear sky
chcu,1634493600,289.7,clear sky
chcu,1634580000,288.58,clear sky
chcu,1634666400,289.27,light rain
cham,1634061600,299.06,clear sky
cham,1634148000,292.37,clear sky
cham,1634234400,293.88,clear sky
cham,1634320800,293.16,clear sky
cham,1634407200,295.08,clear sky
cham,1634493600,296.68,light rain
cham,1634580000,296.96,light rain
cham,1634666400,295.56,light rain
chis,1634065200,289.47,clear sky
chis,1634151600,289.98,clear sky
chis,1634238000,289.82,clear sky
chis,1634324400,291.51,clear sky
chis,1634410800,291.52,clear sky
chis,1634497200,290.52,broken clouds
chis,1634583600,289.4,clear sky
chis,1634670000,289.5,overcast clouds
chpi,1634058000,298.89,light rain
chpi,1634144400,298,clear sky
chpi,1634230800,298.21,scattered clouds
chpi,1634317200,298.74,overcast clouds
chpi,1634403600,299.82,light rain
chpi,1634490000,294.82,light rain
chpi,1634576400,296.4,scattered clouds
chpi,1634662800,297.9,light rain
chyo,1634144400,295.06,overcast clouds
chyo,1634230800,299.77,light rain
chyo,1634317200,299.5,light rain
chyo,1634403600,289.48,moderate rain
chyo,1634490000,290.79,clear sky
chyo,1634576400,291.67,clear sky
chyo,1634662800,294.96,clear sky
chyo,1634749200,292.79,overcast clouds
chat,1634144400,300.01,few clouds
chat,1634230800,300.52,overcast clouds
chat,1634317200,301.45,scattered clouds
chat,1634403600,294.83,light rain
chat,1634490000,295.54,clear sky
chat,1634576400,294.51,overcast clouds
chat,1634662800,297.91,few clouds
chat,1634749200,299.43,broken clouds
choh,1634140800,295.41,broken clouds
choh,1634227200,298.18,broken clouds
choh,1634313600,299.2,overcast clouds
choh,1634400000,297.81,light rain
choh,1634486400,288.14,clear sky
choh,1634572800,289.31,clear sky
choh,1634659200,291.41,clear sky
choh,1634745600,292.54,few clouds
cbpo,1634140800,294.29,light rain
cbpo,1634227200,294.47,overcast clouds
cbpo,1634313600,294.69,scattered clouds
cbpo,1634400000,294.7,light rain
cbpo,1634486400,288.22,clear sky
cbpo,1634572800,289.19,clear sky
cbpo,1634659200,289.79,clear sky
cbpo,1634745600,291.43,clear sky
chch,1634144400,300.62,scattered clouds
chch,1634230800,300.73,overcast clouds
chch,1634317200,300.86,broken clouds
chch,1634403600,292.74,light rain
chch,1634490000,292.65,clear sky
chch,1634576400,294.02,overcast clouds
chch,1634662800,296.72,clear sky
chch,1634749200,296.04,overcast clouds
chic,1634061600,294.78,moderate rain
chic,1634148000,297.09,very heavy rain
chic,1634234400,297.6,moderate rain
chic,1634320800,294.59,clear sky
chic,1634407200,293.9,clear sky
chic,1634493600,295.01,clear sky
chic,1634580000,295.18,clear sky
chic,1634666400,293.98,overcast clouds
chir,1634065200,294.38,clear sky
chir,1634151600,289.4,clear sky
